click.demo	Tagad uzklikšķiniet uz [B_NAME].
click.prac	"Uzklikšķiniet, lūdzu, uz [B_NAME]."
click_img.demo	Tagad uzklikšķiniet uz [B_NAME_ICON].
click_img.prac	"Uzklikšķiniet, lūdzu, uz  [B_NAME_ICON]."
click_cancel_trans_img.demo	"Uzklikšķinot uz [B_ICON_NAME], transakcija tiek pārtraukta."
click_cancel_trans_img.prac	"Ja vēlaties pārtraukt transakciju, uzklikšķiniet uz [B_ICON_NAME]."
click_back_img.demo	"Uzklikšķinot uz [B_ICON_NAME], Jūs atgriežaties iepriekšējā lappusē.  "
click_back_img.prac	"Lai atgrieztos iepriekšējā lappusē, uzklikšķiniet uz [B_ICON_NAME]."
click_ok_img.demo	Tagad uzklikšķiniet uz [B_ICON_NAME].
click_ok_img.prac	Uzklikšķiniet uz [B_ICON_NAME].
click_exit_trans_img.demo	"Uzklikšķinot uz [B_ICON_NAME], Jūs atstājat transakciju. "
click_exit_trans_img.prac	"Ja vēlaties atstāt transakciju, uzklikšķiniet uz [B_ICON_NAME]."
click_save_img.demo	"Uzklikšķinot uz [B_ICON_NAME], Jūs saglabājat datus atmiņā. "
click_save_img.prac	"Ja vēlaties saglabāt datus atmiņā, uzklikšķiniet uz [B_ICON_NAME]."
click_checkbox_off.demo	[B_NAME] tiek izslēgts.
click_checkbox_off.prac	Izslēdziet vērtību [B_NAME].
click_next_page_img.demo	"Uzklikšķinot uz [B_NAME_ICON], Jūs atverat nākamo lappusi. "
click_next_page_img.prac	"Uzklikšķiniet, lūdzu, uz [B_NAME_ICON]."
click_checkbox_on.demo	[B_NAME] tiek selektēts .
click_checkbox_on.prac	Selektējiet vērtību [B_NAME].
click_select_value.demo	Vērtība[B_NAME] tiek izvēlēta.
click_select_value.prac	Izvēlējieties vērtību [B_NAME].
click_open_menu.demo	Izvēlne [B_NAME] tiek atvērta.
click_open_menu.prac	Atveriet izvēlni [B_NAME].
click_menu_select.demo	Ieraksts[B_NAME] tiek izvēlēts.
click_menu_select.prac	Izvēlējieties ierakstu [B_NAME].
click_select_column.demo	Aile [B_NAME] tiek izvēlēta.
click_select_column.prac	"Izvēlējieties aili  [B_NAME], uzklikšķinot uz ailes augšējās daļas."
click_open_value_help.demo	Vērtību palīdzība tiek atvērta.
click_open_value_help.prac	"Atveriet, lūdzu, vērtību palīdzību."
click_select_line.demo	Rinda [B_NAME] tiek izvēlēta.
click_select_line.prac	"Izvēlējieties rindu [B_NAME], ieklikšķinot pirmajā ailē. "
click_scroll_top.demo	"Uzklikšķinot uz [ICON], lappuse tiek skrollēta uz sākumu."
click_scroll_top.prac	"Skrollējiet uz sākumu, uzklikšķinot uz [ICON]."
click_scroll_bottom.demo	"Uzklikšķinot uz [ICON], lappuse tiek skrollēta uz beigām."
click_scroll_bottom.prac	"Skrollējiet uz beigām, uzklikšķinot uz [ICON]."
click_scroll_pageup.demo	"Uzklikšķinot uz [ICON], lappuse tiek skrollēta uz augšu."
click_scroll_pageup.prac	"Skrollējiet lappusi uz augšu, uzklikšķinot uz [ICON]."
click_scroll_pagedown.demo	"Uzklikšķinot uz [ICON], lappuse tiek skrollēta uz leju."
click_scroll_pagedown.prac	"Skrollējiet lappusi uz leju, uzklikšķinot uz [ICON]."
click_scroll_lineup.demo	"Uzklikšķinot uz [ICON] , rinda tiek skrollēta uz augšu."
click_scroll_lineup.prac	"Skrollējiet rindu uz augšu, uzklikšķinot uz [ICON]."
click_scroll_linedown.demo	"Uzklikšķinot uz [ICON], rinda tiek skrollēta uz leju."
click_scroll_linedown.prac	"Skrollējiet rindu uz leju, uzklikšķinot uz [ICON]."
click_close_window_img.demo	"Uzklikšķinot uz [ICON] , logs aizvērsies."
click_close_window_img.prac	"Aizveriet logu, uzklikšķinot uz [ICON]."
click_select_all_lines_img.demo	"Uzklikšķinot uz ICON], visas rindas tiek iezīmētas."
click_select_all_lines_img.prac	"Selektējiet visas rindas, uzklikšķinot uz [ICON]."
click_open_card_menu.demo	"Uzklikšķinot uz [ICON],  atvērsies komandkaršu izvēlne."
click_open_card_menu.prac	"Atveriet komandkaršu izvēlni, uzklikšķinot uz [ICON] ."
click_select_card.demo	Komandkarte  [B_NAME] tiek izvēlēta.
click_select_card.prac	Izvēlējieties komandkarti [B_NAME].
click_next_cards_img.demo	"Uzklikšķinot uz [ICON], parādīsies nākamās komandkartes."
click_next_cards_img.prac	"Ja vēlaties apskatīties nākamās komandkartes, uzklikšķiniet uz  [ICON]."
click_prev_cards_img.demo	"Uzklikšķinot uz  [ICON], parādīsies iepriekšējās komandkartes."
click_prev_cards_img.prac	"Ja vēlaties apskatīties iepriekšējās komandkartes, uzklikšķiniet uz [ICON]."
click_open_nav_menu.demo	"Uzklikšķinot uz [ICON], atvērsies navigācijas izvēlne."
click_open_nav_menu.prac	"Atveriet navigācijas izvēlni, uzklikšķinot uz [ICON]."
click_close_folder_img.demo	"Uzklikšķinot uz [ICON],  mape  [B_NAME] tiek aizvērta."
click_close_folder_img.prac	"Aizveriet mapi [B_NAME], uzklikšķinot uz [ICON."
click_open_folder_img.demo	"Uzklikšķinot uz [ICON] ,  mape [B_NAME] tiek atvērta."
click_open_folder_img.prac	"Atveriet mapi [B_NAME], uzklikšķinot uz [ICON]."
click_select_element_img.demo	"Uzklikšķinot uz [ICON], elements [B_NAME] tiek izvēlēts. "
click_select_element_img.prac	"Izvēlējieties elementu [B_NAME], uzklikšķinot uz [ICON]."
click_scroll_down.demo	Ar skrollbāru lappuse tiek skrollēta uz leju.
click_scroll_down.prac	Ar skrollbāra palīdzību skrollējiet lappusi uz leju.
dblclick_select_entry.demo	Ar dubultklikšķi uz [B_NAME] tiek izvēlēts ieraksts. 
dblclick_select_entry.prac	Izvēlējieties ierakstu [B_NAME] ar dubultklikšķi.
dblclick_select_date.demo	[B_NAME] tiek izvēlēts.
dblclick_select_date.prac	Izvēlējieties [B_NAME.
dblclick_start_transaction.demo	Ar dubultklikšķi transakcija [B_NAME] tiek iesākta.
dblclick_start_transaction.prac	"Sāciet transakciju [B_NAME] ar dubultklikšķi <br> vai <br>, ierakstiet transakcijas kodu [B_TCODE] un apstipriniet ar taustiņu ENTER.  "
click_close_group.demo	Grupa [B_NAME] tiek aizvērta.
click_close_group.prac	"Aizveriet, lūdzu, grupu [B_NAME]."
click_open_group.demo	Grupa [B_NAME] tiek atvērta.
click_open_group.prac	"Atveriet, lūdzu, grupu [B_NAME]."
select.demo	Kā [B_NAME] tiek izvēlēts [B_SELECTED].
select.prac	"Kā [B_NAME] izvēlējieties, lūdzu, [B_SELECTED]."
input_text.demo	Lauks [B_NAME] tiek aizpildīts.
input_text.prac	"Ierakstiet, lūdzu,[B_INPUT] laukā [B_NAME]."
input_text_value.demo	Laukā [B_NAME] tiek ierakstīts [B_INPUT].
input_text_value.prac	"Ierakstiet, lūdzu, [B_INPUT] laukā [B_NAME]."
input_tab_enter_button.demo
input_tab_enter_button.prac	<br>Apstipriniet ierakstu ar taustiņu <b>Tab-</b> vai taustiņu <b>Enter</b> vai noklikšķiniet <b>attiecīgo pogu</b>.
input_tab_enter.demo
input_tab_enter.prac	<br>Apstipriniet ierakstu ar taustiņu <b>Tab-</b> vai taustiņu <b>Enter</b>. 
input_enter_button.demo
input_enter_button.prac	<br>Apstipriniet ierakstu ar taustiņu <b>Enter</b>  vai noklikšķiniet <b> attiecīgo pogu </b>.
input_tab.demo
input_tab.prac	<br>Apstipriniet ierakstu ar taustiņu <b>Tab</b>.
input_enter.demo
input_enter.prac	<br>Apstipriniet ierakstu ar taustiņu <b>Enter</b>.
input_button.demo
input_button.prac	"<br>Apstipriniet ierakstu, noklikšķinot <b>attiecīgo pogu</b>."
click_select.demo	[B_NAME] tiek tagad izvēlēts.
click_select.prac	"Izvēlējieties, lūdzu, [B_NAME]."
click_show_value_help_button.demo	"Ieklikšķinot teksta laukā [B_NAME], tiek atvērta vērtību palīdzība. "
click_show_value_help_button.prac	"Atveriet vērtību palīdzību, ieklikšķinot teksta laukā [B_NAME]."
click_scroll_horizontal.demo	Lappuse tiek skrollēta uz labo pusi…
click_scroll_horizontal.prac	"Lūdzu, skrollējiet lappusi uz labo pusi. "
click_scroll_vertical.demo	Lappuse tiek skrollēta uz leju...
click_scroll_vertical.prac	"Lūdzu, skrollējiet lappusi uz leju."
click_img_expand.demo	"Ja vēlaties palielināt navigācijas lauku, uzklikšķiniet uz [ICON]."
click_img_expand.prac	"Palieliniet navigācijas lauku, uzklikšķinot uz [ICON]."
click_img_collapse.demo	"Ja vēlaties samazināt  navigācijas lauku, uzklikšķiniet uz [ICON]."
click_img_collapse.prac	"Samaziniet navigācijas lauku, uzklikšķinot uz [ICON]."
click_navrow.demo	Navigācijas rindā tiek izvēlēts [B_NAME].
click_navrow.prac	"Atveriet, lūdzu, [B_NAME] no navigācijas rindas. "
click_navrow2.demo	Otrajā navigācijas rindā tiek atvērts [B_NAME].
click_navrow2.prac	" Izvēlējieties, lūdzu, [B_NAME] no otrās navigācijas rindas. "
click_open_context_menu.demo	Konteksta izvēlne [B_NAME] tiek atvērta. 
click_open_context_menu.prac	Atveriet [B_NAME] konteksta izvēlni. 
click_radio_select.demo	[B_NAME] tiek izvēlēts.
click_radio_select.prac	Izvēlējieties [B_NAME].
click_select_img.demo	[B_ICON_NAME]  tiek izvēlēts.
click_select_img.prac	Izvēlējieties [B_ICON_NAME].
click_open_form_view.demo	Ar [B_ICON_NAME] tiek pārslēgts formulāra režīmā.
click_open_form_view.prac	Pārslēdzieties formulāra režīmā ar [B_ICON_NAME].
history_select.demo	[B_NAME] .... tiek izvēlēts no vēstures.
history_select.prac	Izvēlējieties [B_NAME] no vēstures.
click_page_up_img.demo	"Uzklikšķinot uz [B_ICON], lappuse tiek skrollēta uz augšu. "
click_page_up_img.prac	"Skrollējiet lappusi uz augšu, uzklikšķinot uz [B_ICON]."
click_page_down_img.demo	"Uzklikšķinot uz [B_ICON], lappuse tiek skrollēta uz leju."
click_page_down_img.prac	"Skrollējiet lappusi uz leju, uzklikšķinot uz [B_ICON]."
click_page_top_img.demo	"Uzklikšķinot uz [B_ICON], skrollēsiet uz sākumu."
click_page_top_img.prac	"Skrollējiet uz sākumu, uzklikšķinot uz [B_ICON]."
click_page_bottom_img.demo	"Uzklikšķinot uz [B_ICON], skrollēsiet uz beigām. "
click_page_bottom_img.prac	"Skrollējiet uz beigām, uzklikšķinot uz [B_ICON]."
click_sort_by_column.demo	Tiek šķirots pēc ailes [B_NAME].
click_sort_by_column.prac	Šķirojiet pēc ailes [B_NAME].
click_select_date.demo	[B_NAME] tiek izvēlēts.
click_select_date.prac	Izvēlējieties [B_NAME].
click_close_card_img.demo	"Uzklikšķinot uz [ICON], komandkarte tiek aizvērta. "
click_close_card_img.prac	"Lai aizvērtu komandkarti, uzklikšķiniet uz [ICON]."
click_select_function_img.demo	"Uzklikšķinot uz [ICON], izvēlaties funkciju [B_NAME]."
click_select_function_img.prac	"Lai izvēlētos funkciju [B_NAME], uzklikšķiniet uz [ICON]."
click_hide_treeview.demo	"Uzklikšķinot uz [ICON], koka pārskats tiek padarīts par neredzamu. "
click_hide_treeview.prac	"Padariet koka pārskatu par neredzamu, uzklikšķinot uz [ICON]."
click_show_treeview.demo	" Uzklikšķinot uz [ICON], koka pārskats tiek padarīts par redzamu."
click_show_treeview.prac	"Padariet koka pārskatu par redzamu, uzklikšķinot uz [ICON]."
click_mark_transaction.demo	"Uzklikšķinot uz [B_NAME], transakcija iezīmēta."
click_mark_transaction.prac	Iezīmējiet transakciju  [B_NAME] ar klikšķi. 
dblclick_select_element.demo	Ar dubultklikšķi tiek izvēlēts elements [B_NAME].
dblclick_select_element.prac	Izvēlējieties elementu [B_NAME] ar dubultklikšķi. 
please_note.demo	\ Ievērojiet sekojošo: [B_NAME].
please_note.prac	\ Ievērojiet sekojošo: [B_NAME].
click_open_value_help_img.demo	"Uzklikšķinot uz <b> ievades palīdzības </b> [ICON], parādīsies izvēles saraksts ar derīgām vērtībām."
click_open_value_help_img.prac	"Ja vēlaties apskatīties izvēles sarakstu ar derīgām vērtībām, uzklikšķiniet uz <b> ievades palīdzības </b> [ICON]."
click_open_selection.demo	"Uzklikšķinot uz [ICON], varat apskatīties izvēles sarakstu."
click_open_selection.prac	"Lai apskatītos izvēles sarakstu, uzklikšķiniet uz [ICON]."
click_mark_entry.demo	Jūs iezīmējat ierakstu [B_NAME] ar klikšķi.
click_mark_entry.prac	Iezīmējiet ierakstu [B_NAME] ar klikšķi.
click_mark_entry_img.demo	"Uzklikšķinot uz  ieraksta [ICON], Jūs izvēlaties to. "
click_mark_entry_img.prac	Izvēlējieties ierakstu [ICON] ar klikšķi. 
click_menu_select_img.demo	"Uzklikšķinot uz izvēlnes punkta [ICON] , Jūs izpildīsiet to."
click_menu_select_img.prac	"Lai izpildītu izvēlnes punktu [ICON] , uzklikšķiniet uz tā."
click_open_menu_img.demo	Ar klikšķi uz izvēlnes [ICON] Jūs atverat to.
click_open_menu_img.prac	"Lai atvērtu izvēlni, uzklikšķiniet uz [ICON]."
click_select_card_img.demo	"Uzklikšķinot uz  reģistra kartes [ICON], Jūs izvēlaties to."
click_select_card_img.prac	"Lai izvēlētos reģistra karti [ICON], uzklikšķiniet uz tās."
dblclick_select_line.demo	Ar dubultklikšķi uz pogas [NAME] iezīmējat rindu.
dblclick_select_line.prac	"Lai iezīmētu rindu, dubulti noklikšķiniet pogu [NAME]."
click_activate_edit.demo	Ar klikšķi ievades laukā [B_NAME]  Jūs aktivējat to.
click_activate_edit.prac	"Lai aktivētu ievades lauku [B_NAME], ieklikšķiniet tajā. "
dblclick_activate_edit.demo	Ar dubultklikšķi ievades laukā [B_NAME] Jūs aktivējat to.
dblclick_activate_edit.prac	"Lai aktivētu ievades lauku [B_NAME], dubulti ieklikšķiniet tajā."
dblclick_open_folder_img.demo	"Ar dubultklikšķi uz simbola [ICON], Jūs atverat mapi [B_NAME]."
dblclick_open_folder_img.prac	Atveriet mapi [B_NAME] ar dubultklikšķi uz simbola [ICON].
click_open_folder.demo	Ar klikšķi uz simbola <b>atvērt mapi'</b> Jūs atverat mapi [B_NAME].
click_open_folder.prac	"Atveriet mapi [B_NAME], uzklikšķinot uz  simbola <b>'atvērt mapi'</b>."
dblclick_open_folder.demo	Ar dubultklikšķi uz simbola <b>'atvērt mapi'</b> Jūs atverat mapi [B_NAME].
dblclick_open_folder.prac	"Atveriet mapi [B_NAME], dubulti uzklikšķinot uz  simbola <b>'atvērt mapi'</b>."
click_close_folder.demo	Ar klikšķi uz simbola <b>'aizvērt mapi'</b> Jūs aizverat mapi [B_NAME].
click_close_folder.prac	"Aizveriet mapi [B_NAME], uzklikšķinot uz  simbola <b>'aizvērt mapi'</b>."
drag_scroll_hor.demo	"Uzklikšķinot  uz <b>skrollbāra</b> un velkot to, vēlamais lauks kļūst redzams."
drag_scroll_hor.prac	"Lai skrollētu, uzklikšķiniet uz <b>horizontālā skrollbāra </b> un velciet to. "
drag_scroll_vert.demo	"Uzklikšķinot  uz <b>skrollbāra</b> un velkot to, vēlamais lauks kļūst redzams."
drag_scroll_vert.prac	"Lai skrollētu, uzklikšķiniet uz <b>vertikālā skrollbāra</b> un velciet to. "
click_scroll.demo	"Uzklikšķinot  uz <b>skrollējamās pogas</b> [NAME], vēlamais lauks kļūst redzams."
click_scroll.prac	"Skrollējiet, uzklikšķinot uz <b>skrollējamās pogas<b> [NAME]."
click_scroll_page_left.demo	"Ieklikšķinot <b>skrollējamajā laukā</b>, vēlamais lauks kļūst redzams."
click_scroll_page_left.prac	"Lai skrollētu, ieklikšķiniet <b>laukā skrollbāra kreisajā pusē</b>."
click_scroll_page_right.demo	"Ieklikšķinot <b>skrollējamajā laukā</b>, vēlamais lauks kļūst redzams."
click_scroll_page_right.prac	"Lai skrollētu, ieklikšķiniet <b>laukā skrollbāra labajā pusē</b>."
click_scroll_page_up.demo	"Ieklikšķinot <b>skrollējamajā laukā</b>, vēlamais lauks kļūst redzams."
click_scroll_page_up.prac	"Lai skrollētu, ieklikšķiniet <b>laukā virs skrollbāra</b>."
click_scroll_page_down.demo	"Ieklikšķinot <b>skrollējamajā laukā</b>, vēlamais lauks kļūst redzams. "
click_scroll_page_down.prac	"Lai skrollētu, ieklikšķiniet <b>laukā zem skrollbāra</b>."
rclick_context.demo	"Uzklikšķinot ar labo peles taustiņu uz [B_NAME], tiek atvērta konteksta izvēlne. "
rclick_context.prac	"Uzklikšķiniet, lūdzu, uz [B_NAME] ar labo peles taustiņu."
dblclick_img.demo	Dubultklikšķis uz [ICON].
dblclick_img.prac	"Lūdzu, dubulti noklikšķiniet uz [ICON]."
keypress.demo	"Lūdzu, ievadiet [B_KEY]."
keypress.prac	"Lūdzu, ievadiet [B_KEY]."
item.close_folder	Aizvērt mapi
item.open_folder	Atvērt mapi
item.enter_key	Enter
item.tab_key	Tab
item.vscroll	vertikālais skrollbārs
item.hscroll	horizontālais skrollbārs
item.close_window	Aizvērt logu
item.value_help	Vērtību izvēle
item.scroll	Skrollbārs
item.back_btn	Atpakaļ
item.save_btn	Saglabāt 
item.scroll_area	Skrollējamais lauks 
input_text_value_tpcd.demo	[B_INPUT] is now entered in the <b>Transaction-Field</b>.
input_text_value_tpcd.prac	Enter [B_INPUT] in the <b>Transaction-Field</b>.
drag_img.demo	Drag [B_NAME_ICON].
drag_img.prac	Drag [B_NAME_ICON].
drop_img.demo	Drop on [B_NAME_ICON].
drop_img.prac	Drop on [B_NAME_ICON].
click_combobtn_tpcd.demo	Clicking on [ICON] of the <b>Transaction Field</b> opens a list of already executed transactions.
click_combobtn_tpcd.prac	Click on [ICON] of the <b>Transaction Field</b> to open the list of already executed transactions.
docQuizzesTitle	Quiz Evaluation
docQuizzesInformation	information:
docQuizzesScorePassed	necessary score:
docQuizzesScoreAchieved	achieved score:
docQuizzesScoreMax	maximum score:
dblclick_mark_entry_img.demo	Double-clicking on the entry [ICON] selects it.
dblclick_mark_entry_img.prac	Select the entry [ICON] by double-clicking it.
